Report Number,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,,,,
1,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,,,,
2,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,,,,
3,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,,,
4,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,,,,
5,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,,,,
6,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,,,,
7,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,,,,
8,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,,,,
9,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,,,,
10,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,,,
11,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,,,,
12,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,,,,
13,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,,,,
14,Mumbai,436,ASSAULT,32,X,None,Violent Crime,18,No,,,,
15,Bangalore,266,SEXUAL ASSAULT,77,F,None,Violent Crime,19,No,,,,
16,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,,,,
17,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,,,,
18,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,,,
19,Bangalore,480,CYBERCRIME,11,M,None,Other Crime,3,Yes,,,,
20,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,,,,
21,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,,,,
22,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,,,,
23,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,,,
24,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,,,
25,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,,,
26,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,,,,
27,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,,,,
28,Lucknow,489,PUBLIC INTOXICATION,41,F,None,Other Crime,7,No,,,,
29,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,,,
30,Bhopal,517,BURGLARY,37,F,None,Other Crime,4,No,,,,
31,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,,,
32,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,,,,
33,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,,,
34,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,,,
35,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,,,
36,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,,,
37,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,,,,
38,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,,,
39,Surat,487,VEHICLE - STOLEN,32,F,None,Violent Crime,13,Yes,,,,
40,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,,,,
41,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,,,
42,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,,,
43,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,,,,
44,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,,,
45,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,,,,
46,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,,,
47,Delhi,555,ROBBERY,47,F,None,Violent Crime,9,No,,,,
48,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,,,,
49,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,,,
50,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,,,
51,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,,,,
52,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,,,,
53,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,,,,
54,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,,,,
55,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,,,
56,Meerut,596,BURGLARY,49,F,None,Other Crime,19,No,,,,
57,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,,,,
58,Ahmedabad,110,ASSAULT,70,F,None,Violent Crime,15,No,,,,
59,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,,,
60,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,,,,
